"b'Mike Belshe, Wences Casares, Jihan Wu, Jeff Garzik, Peter Smith and Erik Voorhees listed as signatories in the note '",
"b'RT @petertoddbtc: ""Unfortunately, it is clear that we have not built sufficient consensus for a clean blocksize upgrade at this time."" @mik'",
"b'According to @jgarzik ""btc1 project will continue the stated mission -- a ""Fedora for Bitcoin\' -- continuing as an '",
"b'""As fees rise on the blockchain, we believe it will eventually become obvious that on-chain capacity increases are '",
"b'""Continuing on the current path could divide the community and be a setback to Bitcoin s growth. This was never the '",
"b'""it is clear that we have not built sufficient consensus for a clean blocksize upgrade""  2X is called off'",
b'No more 2X  story coming shortly',
"b""RT @SpirosMargaris: @CoinDesk's Top 10 Token Traders and Analysts of 2017  #fintech @CremeDeLaCrypto @cburniske""",
b'RT @cburniske: (Honored)^2. A personal #bitcoin meme + @CoinDesk blessing all in one! ',
b'RT @DelRayMan: The end of this $50 million blockchain fund shows the difficulties facing even accomplished founders: ',
"b""Cryptocurrency Market a 'Good Bubble,' Says ConsenSys CEO Joseph Lubin  """,
b'Litecoin Price Looks Northwards Amid Korean Volume Spike  ',
"b""CoinDesk's Top 10 Token Traders and Analysts of 2017  """,
"b'Deloitte Report: Over 26,000 Blockchain Projects Began in 2016  '",
"b'$7,500 and Rising: Bitcoin Price Looks Ready to Challenge Records  '",
"b'RT @shatzakis: Great article from @coindesk on how the SegWit2x bitcoin hardfork, in terms of context is complex and relative '",
"b'RT @jennifer_kucza: The DAO Again? Fears, Forks and Finger-Pointing In Parity Exploit Aftermath  via @CoinDesk'",
b'RT @Thorn6669: Hold the Fork: No 2x But Everything Else Goes at Scaling Bitcoin Event  via @CoinDesk',
b'Food for thought ',
b'Ethereum Security Lead: Hard Fork Required To Release Frozen Parity Funds  ',
b'Secret Service Agent Gets Extra Jail Time Over Theft of Silk Road Bitcoin  ',
"b""'Young' ICOs: Nasdaq Exec Says Exchange Still the Place to Raise Capital  """,
b'Medium The Parity Wallet Hack Reloaded  by @ZeppelinOrg',
"b'SIA Group, R3 Team Up for Blockchain Finance App Network  '",
"b""European Central Bank Member: We Aren't Ignoring Cryptocurrency  """,
b'FT Bitcoin Proves Hard to Kill in China  by @gabewildau',
b'Medium Parity Multi-Sig Wallets Funds Frozen (Explained)  by @springroleinc',
b'CBOE President: Bitcoin ETFs Will Follow Futures Products  ',
"b""RT @coindesk: 2/ We've added an opinion section to our Segwit2x Guide. Have an article you think best argues your preferred view? We'll add""",
"b""RT @coindesk: 1/ For or against bitcoin's coming fork? CoinDesk is now taking Op-Ed submissions at marc@""",
"b""Opinion: Bitcoin's Bogeyman Cometh: Why Segwit2x Is a 51% Attack  """,
"b'RT @CryptoRidge: CME Group\'s chairman Leo Melamed said ""bitcoin will likely come to trade in a similar way to how gold and stocks are excha'",
b'RT @NoelleInMadrid: Great panel with @jalak on ICOs disrupting venture capital (or not) @coindesk ',
"b'The DAO Again? Fears, Forks and Finger-Pointing In Parity Exploit Aftermath  '",
b'UPS Eyes Paperless Shift With Blockchain Consortium Entry  ',
b'Mixed Mining Arts? UFC Website Removes Malicious Crypto Code  ',
b'Allianz Unveils Blockchain Prototype for Self-Insurance Products  ',
"b""CME Group's Leo Melamed: We'll 'Tame' Bitcoin  """,
b'Ethereum Client Bug Freezes User Funds as Fallout Remains Uncertain  ',
"b""Russian Official: Blockchain Will 'Seriously Change' Tourism Industry  """,
"b'Short-Lived Rebound? Bitcoin Struggles to Retake $7,200  '",
"b""'Mothballed': 11:FS Backs Off $50 Million Blockchain for Banking Fund  """,
b'Bloomberg Buy Bitcoin Overtakes Buy Gold as Online Search Phrase Bloomberg ',
"b""RT @samtuke: Perhaps the most important #Bitcoin fork yet occurs in 2 weeks, set to test if the currency's decentralised concensus-based ro""",
"b'RT @peerity: ""Fork off and do your own thing. Now, that sounds like the American dream."" #Segwit2x #hardfork #cryptocurrencies #altcoin #ne'",
b'Thai Bank Taps IBM for Contract Management Blockchain Pilot  ',
b'A More Equitable ICO? Why Blockstack Said No to a Token Pre-Sale  ',
"b""Malaysia's Securities Watchdog Plans Cryptocurrency Regulations  """,
b'How to Stop Worrying and Love the Fork  ',
"b'Shell, BP Among Energy Giants to Back Blockchain Trading Platform  '",
b'Ledger Preparing for a Segwit2x Hard Fork ',
"b'The Conversation With a New Futures Market, Bitcoin Is Going Mainstream  by @profjasonpott'",
b'Money Manager VanEck Launches Cryptocurrency Price Indices  ',
"b""RT @SystemsandTech: Support our Accenture #blockchain influencers by voting for David Treat &amp; Iliana Oris Valiente in @coindesk's poll http""",
"b'RT @twobitidiot: If you wanna 5-10x your market value in 6 months, you should consider a pit stop as a CoinDesk research analyst. (Seriousl'",
b'RT @correosdelbosqu: Ethereum Wallet Status Pledges $1 Million for New Bug Bounty Program  via @CoinDesk',
"b'$8,000? Goldman Sachs Analysts See Possible Bitcoin Price Jump  '",
"b""Bitcoin's Price Slips Below $7,000  """,
"b""Those are just a few of the many people we're looking to join us in our New York City office. """,
"b""If you're an experienced product manager, join our tech team and help build the future of CoinDesk. """,
"b""We're also looking for a graphic designer to work with the marketing, events and editorial teams. """,
b'Just added! CoinDesk is looking for a research analyst to help work on State of Blockchain and other projects. ',
b'Ripio Closes $37 Million ICO for Ethereum Lending Network  ',
b'RT @SpirosMargaris: #Vatican Address to Highlight #Bitcoin Use in Human Slave Trade  #fintech @DelRayMan @coinde',
b'3/ And be sure to bookmark our full guide as November 18 approaches: ',
"b""2/ We've added an opinion section to our Segwit2x Guide. Have an article you think best argues your preferred view? We'll add it to our list""",
"b""1/ For or against bitcoin's coming fork? CoinDesk is now taking Op-Ed submissions at marc@""",
b'US Medical Board Group Launches Blockchain Certification Pilot  ',
"b""US Treasury to Audit FinCEN's Cryptocurrency Practices  """,
b'Ethereum Classic Snaps Slump as Price Hits Eight-Week High  ',
"b""PBoC Research Lead: 'Crucial' to Issue Central Bank Cryptocurrency Soon  """,
b'RT @SpirosMargaris: Price of Success? #Bitcoin Faces New Pressure in a Multi-Coin World  #fintech @pete_rizzo_',
b'RT @DelRayMan: The Vatican invited this Bank of Montreal AML expert to speak about bitcoin and the slave trade:  htt',
b'Bitcoin Price Fades After Spike to New Record High  ',
b'Bitcoin Startup RSK to Launch Smart Contracts Sidechain in 2017  ',
b'Pop Star Bjork to Accept Cryptocurrency Payments for New Album  ',
b'Price of Success? Bitcoin Faces New Pressure in a Multi-Coin World  ',
b'IBM Pitches Blockchain to British Columbia for Pot Supply Chains  ',
b'UBS Chief Economist Compares Bitcoin to Tulip Mania  ',
b'RT @Adam_T_Smith: Well written piece by @NotASithLord #blockchain #bitcoin #Segwit2x ',
b'ETF Firms File to Create Blockchain Investment Products  ',
b'Opinion: Why Segwit2x Is Doomed to Fail  ',
b'RT @CollinsCustomIP: interesting survey by @coindesk for thos interested in $b2x (22% &amp;rising). n &gt;1000 ',
"b""RT @suemcgill: Can Blockchain Save Us from the Internet's Original Sin?  via @CoinDesk""",
"b""MIT Media Lab Director: ICOs Are 'Attracting the Wrong People'  """,
b'Hold the Fork: No 2x But Everything Else Goes at Scaling Bitcoin Event  ',
b'BREAKING: Vatican Address to Highlight Bitcoin Use in Human Slave Trade  ',
"b""The Telegraph Bitcoin Hits the Mainstream, but Is It Really 'the New Gold'? """,
"b""RT @ecuamatt: Can Blockchain Save Us from the Internet's Original Sin?  via @CoinDesk""",
b'RT @blkchninstitute: Confused about the upcoming #BTC forks? @coindesk has you covered with their resourceful guide. ',
b'Bloomberg Here Are the Big Names Who Are Backing and Slamming Bitcoin ',
"b'RT @wmougayar: Getting paid in cryptocurrency vs. fiat: 10 mins vs. 30 days. Case closed. True, recurring story.'",
b'On command ',
b'Paste Bitcoin Is Rapidly Becoming Mainstream  by @Jakeweindling',
b'RT @mikejcasey: My column from earlier. Private blockchains make sense for rigid supply chains of today. But in era of 3D printing? https:/',
"b'RT @cbridge8989: Always think about security: ""Everyone here is a target for attack.""  via @CoinDesk'",
b'Forbes CIBC Walks From Tapscott Fund After Falsehoods Revealed; More Misrepresentations Found  by @laurashin',
"b'RT @JeremyLight3: Exciting countdown to SegWit2x on mining #bitcoin block 494,784 around16 Nov: 3 potential outcomes '",
b'Zk-Snarks Everywhere: Ethereum Privacy Tech Hits Tipping Point  ',
b'Trust No One: Ethereum Smart Contract Security Is Advancing  ',
"b""China's Bitcoin Exchanges Shift to P2P Model After Crackdown  """,
b'Blockchain Startup With Disney Roots Completes $ Million ICO  ',
b'Tezos Founders Sued for Securities Fraud in Potential Class Action  ',
b'UK Ministry of Justice: Blockchain Could Help Verify Crime Evidence  ',
"b'WSJ Bitcoin Hits $7,000 as Wall Street Interest Gets Real  by @paulvigna'",
b'RT @SpirosMargaris: How #Blockchains Will Turn Supply Chains Into Demand Chains  #fintech @mikejcasey @coindesk',
b'Bitcoin Price: First Signs of a Tired Bull?  ',
b'Hello Moon: Ethereum Developers Launch Lightweight Dapp Browser  ',
"b'Ripple Price Outlook Positive on Korean Volume, Analyst Prediction  '",
"b""Britain's Royal Mint Reveals Details on 'Live' Blockchain for Tracking Gold  """,
b'How Blockchains Will Turn Supply Chains Into Demand Chains  ',
b'Argentinian Futures Exchange Eyes Bitcoin Offering  ',
b'Bitcoin Price Sets New Record As Cryptocurrency Market Tops $200 Billion  ',
"b""RT @ivajurkiv: Nobody Understands Bitcoin (And That's OK)  via @CoinDesk""",
"b""RT @Brujah03: Understanding Segwit2x: Why Bitcoin's Next Fork Might Not Mean Free Money  via @CoinDesk""",
b'Colombian Financial Watchdog Joins R3 Blockchain Consortium  ',
"b""Goldman Sachs CEO Lloyd Blankfein: I'm Open to Bitcoin  """,
b'Isle of Man Grants License to Ethereum-Based Lottery  ',
b'Finance Bigwig Mohamed El-Erian Says Bitcoin Is a Commodity  ',
"b""Shifting and Changing: Ethereum's Casper Code Takes Shape  """,
b'Smarter Bug Bounties? Hydra Codes Creative Solution for Ethereum Theft  ',
"b'RT @cryptomage: @dabloki @coindesk If you copy and past addresses when sending coins, verify the address AFTER pasting and BEFORE sending.'",
b'RT @lewisgithinji: Are you a developer who aspires to be ahead of the herd? Think Blockchain! ',
"b""Jerome Powell, Trump's Fed pick, has taken a relatively hands-off stance toward bitcoin and cryptocurrencies """,
b'RT @BempaMarketing: Beware for Malware! ',
b'RT @LunafiHQ: Always double check your wallet address before sending any money! ',
b'Newly Discovered Malware Steals Bitcoin by Monitoring Users Clipboards  ',
"b'RT @VinnyLingham: In light of the recent death threats that I have received, I realize that Segwit2x is a bad idea and I publicly revoke my'",
b'Blockchain and Bitcoin Developers Among Fastest-Growing Gigs: Report  ',
b'Ethereum Storage Network Swarm Enters Next Test Phase  ',
"b""CoinDesk is seeing unprecedented traffic. Sorry for any inconvenience, but we'll be back soon!""",
b'Vice One Bitcoin Transaction Now Uses as Much Energy as Your House in a Week  by @chrismalmo',
"b""Bitcoin or Bitcoin2x? News &amp; Guides to Navigate November's Fork  """,
b'RT @AmberBaldet: Way too busy learning (and teaching) at #devcon3 to tweet so here s a picture of the JPM blockchain team with @VitalikBute',
"b'RT @BobSummerwill: ""You have to love meaningless staking"". Seen at #ethereum #devcon3 '",
"b""Credit Suisse CEO: Bitcoin the 'Very Definition of a Bubble'  """,
"b'RT @mayazi: Weeding ICO bubbles - Total monthly capital raised down, project not reaching their funding goal up via @ericrisley '",
"b""RT @HaDuong_: 'A Modest Proposal': @VitalikButerin Unveils Multi-Year Vision for Ethereum  via @CoinDesk""",
"b""Coinbase's GDAX Exchange Sets Out Criteria for Token Listings  """,
b'Short-Term Top? Bitcoin Price Seeks Direction on Choppy Charts  ',
b'Ethereum Wallet Status Pledges $1 Million for New Bug Bounty Program  ',
b'Bitcoin Payroll Startup Bitwage Adds 18 New Currencies  ',
b'RT @sytaylor: SEC: Celebrity ICO Endorsements Could Be Illegal  via @CoinDesk',
b'Nasdaq Exec: Blockchain Progress Slow Amid Real-World Roadblocks  ',
b'Free Market Forks? Bitcoin Startups Love the Idea But Brace for Reality  ',
b'Ex-Credit Suisse Exec to Launch ICO for Luxury Good Platform  ',
"b""@pdawg74 Prices vary across different sites. The article is correct as per Coindesk's Bitcoin Price Index""",
"b'Bitcoin Price Gains Continue with Record High Just Shy of $7,000  '",
b'Bitcoin Exchange Bribery Case Ends With 5-Year Jail Sentence  ',
b'US Government Arrests and Charges Alleged ICO Fraudster  ',
"b""'A Modest Proposal': Vitalik Unveils Multi-Year Vision for Ethereum  """,
"b""RT @GaltsGirl: Vote for CoinDesk's Most Influential People in Blockchain 2017  via @CoinDesk""",
"b'RT @JaEsf: So glad to see actual convos with miners/pool operators! Still murky, but more grounds here for thinking 2x hash support will be'",
b'@hubert_crypto Thanks for spotting. Will issue update for clarity.',
b'RT @gary_mcfarlane: Split or No Split? Bitcoin Miners See No Certainty in Segwit2x Fork  via @CoinDesk',
b'RT @MarcHochstein: This month is gonna be a nail-biter folks ',
b'Cornell Professor Claims Blockchain Advances with Thunder Token Debut  ',
b'SEC: Celebrity ICO Endorsements Could Be Illegal  ',
"b'SEC issues warning about ""Potentially Unlawful"" promotion of ICOs by  '",
b'New Zealand Regulator: Cryptocurrencies Are Securities  ',
"b""Bitcoin's Price Climbs Above $6,600 to Reach New Market High  """,
b'Split or No Split? Bitcoin Miners See No Certainty in Segwit2x Fork  ',
b'RT @YincMike: hmmmm ',
b'Amazon Subsidiary Registers Cryptocurrency and Ethereum Web Domains  ',
b'Bitcoin Gold Team Touts Safety Update Ahead of Coin Release  ',
"b'Bright Futures: Bitcoin Climbs on CME News, But Is $7,000 in Sight?  '",
"b""@AlyssaHertig Found Rachel - @_lunar_mining! And check out CoinDesk's 6 talks to watch at #Devcon3: """,
b'The Verge Inside Russia s Love-Hate Relationship With Bitcoin  by @Shannon_Liao',
"b""#Ethereum's annual developer conference #Devcon3 starts today! Stay tuned for our coverage from @AlyssaHertig &amp; Rachel Rose O'Leary.""",
b'BREAKING: A More User-Friendly Bitcoin Market? OpenBazaar Version  Is Here  ',
b'American Banker R3 to Take on Ripple With Cross-Border Payments Blockchain  by @pennycrosman',
b'RT @ani_htn: Short &amp; good article on Segwit2x  via @CoinDesk #bitcoin # segwit2x',
b'RT @bartcant: ZoKrates Seeks to Bring Best of Zcash to Ethereum with Devcon Debut ',
b'Bitcoin Cash Outlook Improves as Traders Greet New Code Release  ',
"b""Business Insider These 5 Companies Are Betting on Ethereum to Reinvent the Internet's Back End  by @beckpeterson""",
b'EXCLUSIVE: ZoKrates Seeks to Bring Best of Zcash to Ethereum with Devcon Debut  ',
b'RT @BryceWeiner: Top notch SegWit2x explainer from @Coindesk. ',
"b""RT @DelRayMan: London's Canary Wharf, the setting of some of the world's most exciting blockchain progress. Via @coindesk """,
"b""Bitcoin 'Battle'? Developers Apathetic as Segwit2x Fork Approaches  """,
"b'Bitcoin Price Surges to New High of over $6,500  '",
b'British Telecom Awarded Patent for Blockchain Security Method  ',
b'Gerson Lehrman Group Taking Bitcoin Mainstream ',
"b""Swaziland's Central Bank is Researching Local Cryptocurrency Use  """,
b'Startup Wickr Hints at Vision for Blockchain in Private Messaging  ',
b'Institutional Investor Jamie Dimon s Bitcoin Rant Defends Status Quo  by @a_calvello',
b'RT @sytaylor: The mainstream tech press this year looks a lot like @coindesk in  ',
"b'The Times Bitcoin Is the Future, After All  by @JamesDeanTimes'",
"b""Understanding Segwit2x: Why Bitcoin's Next Fork Might Not Mean Free Money  """,
